title,ratings,reviews,url,course_by,skills,price,id,"level, type and duration"
The Science of Well-Being,4.9,355000,https://www.coursera.org/learn/the-science-of-well-being,Yale University,"Personal Development, Business Psychology, Entrepreneurship, Leadership and Management, Professional Development, Adaptability, Resilience, Planning",Free,1,Mixed · Course · 1-3 Months
Indigenous Canada,4.8,208000,https://www.coursera.org/learn/indigenous-canada,University of Alberta,"Leadership and Management, Business Psychology, Culture, Communication, Entrepreneurship, Marketing, Algorithms, Creativity, Finance, Research and Design, Storytelling, Theoretical Computer Science",Free,2,Mixed · Course · 1-3 Months
Financial Markets,4.8,244000,https://www.coursera.org/learn/financial-markets-global,Yale University,"Finance, Banking, Investment Management, Risk Management, Securities Trading, Financial Management, Regulations and Compliance, Securities Sales, Underwriting, Business Psychology, Behavioral Economics, Accounting, Adaptability, Budget Management, Innovation, Media Strategy & Planning, Resilience, Taxes, Business Analysis, Business Process Management, Corporate Accouting, Data Analysis, Entrepreneurship, Financial Analysis, Generally Accepted Accounting Principles (GAAP), Probability & Statistics, Statistical Tests, Strategy and Operations",Free,3,Beginner · Course · 1-3 Months
The Science of Well-Being for Teens,4.8,29,https://www.coursera.org/learn/the-science-of-well-being-for-teens,Yale University,,Free,4,Beginner · Course · 1-3 Months
Introduction to Psychology,4.9,255000,https://www.coursera.org/learn/introduction-psychology,Yale University,"Business Psychology, Emotional Intelligence, Writing",Free,5,Beginner · Course · 1-3 Months
Writing in the Sciences,4.9,75000,https://www.coursera.org/learn/sciwrite,Stanford University,"Communication, Writing, Social Media",Free,6,Beginner · Course · 1-3 Months
Introduction to Statistics,4.6,2000,https://www.coursera.org/learn/stanford-statistics,Stanford University,"Data Science, General Statistics, Probability & Statistics, Statistical Tests, Estimation, Basic Descriptive Statistics, Correlation And Dependence, Probability Distribution, Regression, Bayesian Statistics, Data Analysis, Data Visualization, Econometrics, Experiment, Machine Learning, Markov Model, Plot (Graphics), Statistical Analysis, Statistical Visualization",Free,7,Beginner · Course · 1-3 Months
Stanford Introduction to Food and Health,4.7,284000,https://www.coursera.org/learn/food-and-health,Stanford University,,Free,8,Beginner · Course · 1-3 Months
Overcoming Dyslexia,4.7,104,https://www.coursera.org/learn/dyslexia,Yale University,"Web Design, Web Development, Algebra, Mathematics",Free,9,Beginner · Course · 1-3 Months
Private Equity and Venture Capital,4.8,74000,https://www.coursera.org/learn/private-equity,Università Bocconi,"Banking, Finance, Mergers & Acquisitions, Financial Management, Financial Analysis, Investment Management, Regulations and Compliance, Accounting, Decision Making, Entrepreneurship, Leadership and Management",Free,10,Mixed · Course · 1-3 Months
How to Manage a Remote Team,4.8,810,https://www.coursera.org/learn/remote-team-management,GitLab,"Business Psychology, Entrepreneurship, Leadership and Management, Human Resources, People Development, Collaboration, Communication, Culture, Adaptability, Organizational Development, Performance Management, Project Management, Strategy and Operations, Business Analysis, Business Transformation, Marketing, People Management, Recruitment, Sales, Strategy",Free,11,Intermediate · Course · 1-3 Months
Successful Negotiation: Essential Strategies and Skills,4.8,179000,https://www.coursera.org/learn/negotiation-skills,University of Michigan,"Communication, Marketing, Negotiation, Sales",Free,12,Mixed · Course · 1-3 Months
Connected Leadership,4.6,24,https://www.coursera.org/learn/connected-leadership,Yale University,"Entrepreneurship, Strategy and Operations, Leadership and Management, Marketing, Sales, Strategy, Change Management, Human Resources, Leadership Development, Business Analysis, Critical Thinking, Project Management, Research and Design, Accounting, Audit, Business Process Management, Computer Programming, Computer Programming Tools, FinTech, Finance, Operating Systems, Operations Management, People Management, Systems Design, Theoretical Computer Science, Emotional Intelligence",Free,13,Beginner · Course · 1-3 Months
Agile with Atlassian Jira,4.7,77000,https://www.coursera.org/learn/agile-atlassian-jira,Atlassian,"Project Management, Strategy and Operations, Jira (Software), Scrum (Software Development), Agile Software Development, Leadership and Management, Operations Management, Software Engineering, Supply Chain and Logistics",Free,14,Beginner · Course · 1-4 Weeks
Organizational Analysis,4.6,13000,https://www.coursera.org/learn/organizational-analysis,Stanford University,"Business Psychology, Entrepreneurship, Organizational Development, Leadership and Management, Culture, Business Analysis, Business Communication, Business Transformation, Communication, Business Process Management, Decision Making, General Statistics, Human Resources, Marketing, Mathematics, Network Analysis, Probability & Statistics, Sales, Social Media, Strategy, Strategy and Operations",Free,15,Beginner · Course · 1-3 Months
