title,author,rating,subcribers
(ISC)² Systems Security Certified Practitioner (SSCP),(ISC)²,4.7,53000
A Crash Course in Causality:  Inferring Causal Effects from Observational Data,University of Pennsylvania,4.7,17000
A Crash Course in Data Science,Johns Hopkins University,4.5,130000
A Law Student's Toolkit,Yale University,4.7,91000
A Life of Happiness and Fulfillment,Indian School of Business,4.8,320000
ADHD: Everyday Strategies for Elementary Students,University at Buffalo,4.7,39000
AI For Everyone,deeplearning.ai,4.8,350000
AI For Medical Treatment,deeplearning.ai,4.8,24000
AI Foundations for Everyone,IBM,4.7,61000
AI for Medical Diagnosis,deeplearning.ai,4.7,12000
AI for Medical Prognosis,deeplearning.ai,4.6,4000
AI for Medicine,deeplearning.ai,4.7,13000
AWS Fundamentals,Amazon Web Services,4.6,130000
AWS Fundamentals: Addressing Security Risk,Amazon Web Services,4.3,11000
AWS Fundamentals: Building Serverless Applications,Amazon Web Services,4.7,27000
AWS Fundamentals: Going Cloud-Native,Amazon Web Services,4.7,110000
AWS Fundamentals: Migrating to the Cloud,Amazon Web Services,4.5,13000
Aboriginal Worldviews and Education,University of Toronto,4.7,66000
Academic English: Writing,"University of California, Irvine",4.7,540000
Accelerated Computer Science Fundamentals,University of Illinois at Urbana-Champaign,4.7,22000
Access Controls,(ISC)²,4.6,29000
Accounting Analytics,University of Pennsylvania,4.5,80000
Accounting for Decision Making,University of Michigan,4.8,99000
Achieving Personal and Professional Success,University of Pennsylvania,4.7,110000
Actualización en el manejo del paciente con diabetes mellitus tipo 2,Universidad Nacional Autónoma de México,4.8,23000
Addiction Treatment: Clinical Skills for Healthcare Providers,Yale University,4.8,92000
Advanced Business Analytics,University of Colorado Boulder,4.5,78000
Advanced Data Science with IBM,IBM,4.4,320000
Advanced Machine Learning,National Research University Higher School of Economics,4.5,190000
Advanced Machine Learning with TensorFlow on Google Cloud Platform,Google Cloud,4.5,35000
"Advanced Valuation and Strategy - M&A, Private Equity, and Venture Capital",Erasmus University Rotterdam,4.7,29000
Advertising and Society,Duke University,4.8,14000
Age of Cathedrals,Yale University,4.7,21000
Agile Development,University of Virginia,4.7,94000
Agile Meets Design Thinking,University of Virginia,4.7,69000
Agile with Atlassian Jira,Atlassian,4.7,40000
Agile и Scrum в работе над проектами и продуктами,ScrumTrek,4.9,12000
Algorithmic Toolbox,University of California San Diego,4.7,220000
Algorithms,Stanford University,4.8,150000
Algorithms for Battery Management Systems,University of Colorado System,4.8,14000
American Contract Law I,Yale University,4.9,18000
An Introduction to American Law,University of Pennsylvania,4.8,23000
An Introduction to Consumer Neuroscience & Neuromarketing,Copenhagen Business School,4.7,69000
